ral,R,G,B,albedo,LRV
RAL 1000,205,186,136,0.47405,51.79
RAL 1001,208,176,132,0.43795,48.09
RAL 1002,210,170,109,0.4142,45.07
RAL 1003,249,169,0,0.46075,49.05
RAL 1004,228,158,0,0.3895,42.13
RAL 1005,203,143,0,0.30685,34.15
RAL 1006,225,144,0,0.342,37.45
RAL 1007,232,140,0,0.34105,37.63
RAL 1011,175,128,80,0.23845,27.65
RAL 1012,221,175,40,0.4389,47.83
RAL 1013,227,217,199,0.66595,70.76
RAL 1014,221,196,155,0.5434,58.34
RAL 1015,230,210,181,0.62985,67.55
RAL 1016,241,221,57,0.67165,71.3
RAL 1017,246,169,81,0.4617,49.8
RAL 1018,250,202,49,0.5966,63.81
RAL 1019,164,143,122,0.27455,30.53
RAL 1020,160,143,101,0.26695,29.44
RAL 1021,246,182,0,0.50445,53.97
RAL 1023,247,181,0,0.5016,54.24
RAL 1024,186,143,76,0.2907,32.74
RAL 1026,255,255,0,0.8816,88.65
RAL 1027,167,127,15,0.2223,25.72
RAL 1028,255,156,0,0.4275,47.55
RAL 1032,226,163,0,0.4028,43.37
RAL 1033,249,154,29,0.41135,44.66
RAL 1034,235,156,82,0.39995,43.82
RAL 1035,143,131,112,0.2204,34.58
RAL 1036,128,100,64,0.13395,28.3
RAL 1037,240,146,0,0.37145,40.61
RAL 2000,218,110,0,0.24795,28.22
RAL 2001,186,72,28,0.1444,17.78
RAL 2002,191,57,34,0.13395,16.33
RAL 2003,246,120,41,0.3154,34.84
RAL 2004,226,83,4,0.2128,24.61
RAL 2005,255,77,8,0.2527,33.91
RAL 2007,255,178,0,0.50445,61.33
RAL 2008,236,107,34,0.27075,29.95
RAL 2009,222,83,8,0.20615,23.78
RAL 2010,208,93,41,0.2033,23.01
RAL 2011,226,110,15,0.2603,29.44
RAL 2012,213,101,78,0.228,25.27
RAL 2013,146,62,37,0.09215,14.25
RAL 2017,252,85,0,0.2584,
RAL 3000,167,41,32,0.09405,12.63
RAL 3001,155,36,35,0.0798,11.09
RAL 3002,155,35,33,0.07885,10.8
RAL 3003,134,26,34,0.05605,8.75
RAL 3004,107,28,35,0.03895,7.39
RAL 3005,89,25,31,0.02755,6.5
RAL 3007,62,32,34,0.0209,5.47
RAL 3009,109,52,45,0.05605,8.5
RAL 3011,120,36,35,0.0513,8.22
RAL 3012,197,133,109,0.08265,31.93
RAL 3013,151,46,37,0.08265,11.36
RAL 3014,203,115,117,0.2489,27.79
RAL 3015,216,160,166,0.40375,44.15
RAL 3016,166,61,48,0.11115,13.96
RAL 3017,202,85,93,0.19,21.8
RAL 3018,198,63,74,0.15295,18.61
RAL 3020,187,31,17,0.1102,14.16
